iter	Passed	Remaining
0	461	91752
1	881	87227
2	1237	81264
3	1529	74924
4	1847	72033
5	2202	71230
6	2473	68203
7	2861	68685
8	3189	67683
9	3604	68481
10	4014	68981
11	4327	67794
12	4633	66654
13	5005	66504
14	5328	65714
15	5697	65524
16	5994	64531
17	6315	63855
18	6619	63054
19	6936	62427
20	7234	61663
21	7662	61994
22	8002	61585
23	8301	60874
24	8604	60228
25	8884	59457
26	9280	59461
27	9584	58874
28	9883	58279
29	10186	57725
30	10517	57334
31	10846	56941
32	11165	56504
33	11436	55839
34	11801	55636
35	12135	55283
36	12511	55117
37	12853	54796
38	13131	54210
39	13422	53691
40	13802	53528
41	14115	53100
42	14493	52916
43	14781	52407
44	15303	52710
45	15713	52605
46	16078	52340
47	16444	52074
48	16744	51599
49	17085	51255
50	17449	50980
51	17947	51082
52	18306	50773
53	18610	50317
54	19028	50166
55	19333	49715
56	19690	49399
57	20029	49038
58	20333	48594
59	20633	48145
60	20926	47684
61	21415	47666
62	21799	47404
63	22119	47003
64	22517	46766
65	22982	46661
66	23262	46178
67	23566	45746
68	23901	45378
69	24229	44998
70	24684	44849
71	24998	44440
72	25415	44215
73	25726	43803
74	26139	43565
75	26576	43361
76	26867	42917
77	27158	42478
78	27669	42379
79	27996	41995
80	28292	41565
81	28643	41218
82	28979	40850
83	29255	40400
84	29657	40124
85	30041	39822
86	30340	39407
87	30864	39282
88	31221	38939
89	31508	38510
90	31816	38109
91	32125	37711
92	32436	37319
93	32809	36998
94	33151	36641
95	33480	36270
96	33851	35945
97	34172	35567
98	34473	35169
99	35060	35060
100	35375	34674
101	35641	34243
102	35977	33882
103	36341	33546
104	36692	33197
105	37040	32847
106	37471	32568
107	38139	32489
108	38446	32097
109	38743	31699
110	39048	31309
111	39360	30926
112	39696	30562
113	40209	30333
114	40561	29980
115	40909	29624
116	41252	29264
117	41575	28891
118	41939	28546
119	42374	28249
120	42853	27978
121	43141	27582
122	43457	27204
123	43825	26860
124	44225	26535
125	44574	26178
126	44902	25810
127	45296	25479
128	45780	25197
129	46066	24805
130	46423	24452
131	46735	24075
132	47147	23751
133	47508	23399
134	47856	23042
135	48162	22664
136	48501	22303
137	48882	21961
138	49423	21689
139	49824	21353
140	50172	20994
141	50471	20615
142	50781	20241
143	51119	19879
144	51509	19537
145	51821	19166
146	52201	18820
147	52579	18473
148	52880	18099
149	53191	17730
150	53751	17442
151	54063	17072
152	54408	16713
153	54705	16340
154	55052	15983
155	55357	15613
156	55684	15251
157	56052	14900
158	56420	14548
159	56779	14194
160	57204	13856
161	57545	13498
162	57875	13137
163	58247	12785
164	58526	12414
165	58816	12046
166	59210	11700
167	59576	11347
168	59940	10994
169	60354	10650
170	60706	10295
171	61032	9935
172	61357	9576
173	61633	9209
174	61997	8856
175	62298	8495
176	62698	8147
177	63014	7788
178	63288	7424
179	63678	7075
180	63967	6714
181	64313	6360
182	64698	6010
183	65033	5655
184	65416	5304
185	65726	4947
186	66088	4594
187	66391	4237
188	66712	3882
189	67261	3540
190	67604	3185
191	67941	2830
192	68232	2474
193	68545	2119
194	68910	1766
195	69276	1413
196	69590	1059
197	69906	706
198	70225	352
199	70563	0
